County,SecondDate,Cases_Change,Cases_Change%,Cases_Level_x,Transit_Change,Transit_Change%,Transit_Level,Cases_Level_y,Driving_Change,Driving_Change%,Driving_Level,Cases_Level,Walking_Change,Walking_Change%,Walking_Level,Table_Change,Table_Change%,Table_Level
48,Queens,2020-03-19,213,1.7317073170731707,336,-1.3700000000000045,-0.03984874927283317,33.01,336,-5.1200000000000045,-0.07885415062374872,59.81,336,-7.529999999999994,-0.11929657794676797,55.59,0.01999999999999602,1.0,0.01999999999999602
49,Richmond,2020-03-19,7,0.2692307692307692,33,1.4299999999999997,0.035714285714285705,41.47,33,-2.780000000000001,-0.04107565011820332,64.9,33,-4.969999999999999,-0.06810084954782131,68.01,0.01999999999999602,1.0,0.01999999999999602
50,Suffolk,2020-03-19,104,5.473684210526316,123,-4.920000000000002,-0.09509083880943181,46.82,123,-9.5,-0.12472101877379546,66.67,123,-23.450000000000003,-0.21676834904788317,84.73,0.01999999999999602,1.0,0.01999999999999602
51,Westchester,2020-03-19,102,0.6455696202531646,260,-5.350000000000001,-0.13435459568056257,34.47,260,-6.230000000000004,-0.09963217655525354,56.3,260,-7.069999999999993,-0.09774643992810719,65.26,0.01999999999999602,1.0,0.01999999999999602
52,Albany,2020-03-20,20,2.857142857142857,27,-0.8200000000000003,-0.015344311377245515,52.62,27,4.260000000000005,0.06889859291606025,66.09,27,5.230000000000004,0.07345505617977534,76.43,0.020000000000010232,1.0000000000007105,0.04000000000000625
53,Bronx,2020-03-20,37,0.24025974025974026,191,-3.280000000000001,-0.07529843893480259,40.28,191,4.099999999999994,0.061487702459508006,70.78,191,4.439999999999998,0.06503588691958398,72.71,0.020000000000010232,1.0000000000007105,0.04000000000000625
54,Erie,2020-03-20,11,1.375,19,-3.4499999999999957,-0.07154707590211522,44.77,19,1.750000000000007,0.027835215524097456,64.62,19,-2.1799999999999926,-0.02640823743185939,80.37,0.020000000000010232,1.0000000000007105,0.04000000000000625
55,Kings,2020-03-20,401,1.468864468864469,674,-1.6700000000000017,-0.04751066856330019,33.48,674,4.210000000000008,0.06528143898278815,68.7,674,8.689999999999998,0.1598601913171449,63.05,0.020000000000010232,1.0000000000007105,0.04000000000000625
56,Monroe,2020-03-20,-5,-0.45454545454545453,6,0.5200000000000031,0.010224144710971356,51.38,6,5.090000000000003,0.07531814146197105,72.67,6,3.719999999999999,0.05060535981499114,77.23,0.020000000000010232,1.0000000000007105,0.04000000000000625
57,Nassau,2020-03-20,288,3.0638297872340425,382,-1.3900000000000006,-0.03972563589597029,33.6,382,6.089999999999996,0.10315040650406498,65.13,382,16.870000000000005,0.25692963752665254,82.53,0.020000000000010232,1.0000000000007105,0.04000000000000625
58,New York,2020-03-20,102,0.3044776119402985,437,-0.2599999999999998,-0.020108275328692946,12.67,437,1.1099999999999994,0.0402173913043478,28.71,437,1.6500000000000004,0.12368815592203901,14.99,0.020000000000010232,1.0000000000007105,0.04000000000000625
59,Onondaga,2020-03-20,5,5.0,6,3.460000000000001,0.08351436157373886,44.89,6,5.890000000000001,0.08666862860506182,73.85,6,3.75,0.07588021044111695,53.17,0.020000000000010232,1.0000000000007105,0.04000000000000625
60,Queens,2020-03-20,183,0.5446428571428571,519,-2.8599999999999994,-0.08664041199636473,30.15,519,2.309999999999995,0.03862230396254799,62.12,519,7.669999999999995,0.13797445583738072,63.26,0.020000000000010232,1.0000000000007105,0.04000000000000625
61,Richmond,2020-03-20,83,2.515151515151515,116,-2.969999999999999,-0.07161803713527849,38.5,116,3.8900000000000006,0.05993836671802774,68.79,116,18.319999999999993,0.2693721511542419,86.33,0.020000000000010232,1.0000000000007105,0.04000000000000625
62,Suffolk,2020-03-20,97,0.7886178861788617,220,-1.3299999999999983,-0.028406663818880785,45.49,220,7.539999999999992,0.11309434528273574,74.21,220,20.33,0.23993862858491677,105.06,0.020000000000010232,1.0000000000007105,0.04000000000000625
63,Westchester,2020-03-20,33,0.12692307692307692,293,2.8900000000000006,0.08384102117783582,37.36,293,6.3700000000000045,0.11314387211367682,62.67,293,9.739999999999995,0.14924915721728463,75.0,0.020000000000010232,1.0000000000007105,0.04000000000000625
64,Albany,2020-03-24,15,3.75,19,-7.009999999999998,-0.14867444326617174,40.14,19,4.960000000000001,0.11888782358581018,46.68,19,8.04,0.1778367617783676,53.25,0.0,0.0,0.0
65,Bronx,2020-03-24,-151,-0.24917491749174916,455,1.0899999999999999,0.038886906885479834,29.12,455,4.200000000000003,0.09296148738379821,49.38,455,7.729999999999997,0.18111527647610115,50.41,0.0,0.0,0.0
66,Erie,2020-03-24,-4,-0.12903225806451613,27,-3.1099999999999994,-0.08487991266375544,33.53,27,4.530000000000001,0.10286103542234336,48.57,27,11.810000000000002,0.22257821334338487,64.87,0.0,0.0,0.0
67,Kings,2020-03-24,-2,-0.002849002849002849,700,1.6099999999999994,0.07899901864573108,21.99,700,5.899999999999999,0.14141898370086287,47.62,700,14.329999999999998,0.5205230657464583,41.86,0.0,0.0,0.0
68,Monroe,2020-03-24,12,0.9230769230769231,25,4.43,0.12391608391608391,40.18,25,4.470000000000006,0.09565589557029759,51.2,25,9.43,0.18530163096875613,60.32,0.0,0.0,0.0
69,Nassau,2020-03-24,-115,-0.21217712177121772,427,2.7600000000000016,0.12158590308370051,25.46,427,8.740000000000002,0.23042446612180337,46.67,427,21.440000000000005,0.5098692033293699,63.49,0.0,0.0,0.0
70,New York,2020-03-24,-202,-0.33278418451400327,405,0.46999999999999975,0.061679790026246684,8.09,405,1.3000000000000007,0.07092198581560288,19.63,405,2.21,0.3303437967115097,8.9,0.0,0.0,0.0
71,Onondaga,2020-03-24,-1,-0.125,7,5.780000000000001,0.14083820662768035,46.82,7,5.009999999999998,0.11368277739959151,49.08,7,2.460000000000001,0.07367475292003596,35.85,0.0,0.0,0.0
72,Queens,2020-03-24,-313,-0.2717013888888889,839,1.0500000000000007,0.055614406779661056,19.93,839,4.350000000000001,0.11263593992749875,42.97,839,11.89,0.3748423707440101,43.61,0.0,0.0,0.0
73,Richmond,2020-03-24,7,0.03626943005181347,200,1.1300000000000026,0.04405458089668626,26.78,200,6.710000000000001,0.15810556079170596,49.15,200,12.199999999999996,0.2389345867606736,63.26,0.0,0.0,0.0
74,Suffolk,2020-03-24,-2,-0.0047169811320754715,422,5.119999999999997,0.14827686070083976,39.65,422,11.670000000000002,0.2630748422001804,56.03,422,35.339999999999996,0.6443026435733819,90.19,0.0,0.0,0.0
75,Westchester,2020-03-24,-24,-0.023506366307541625,997,2.120000000000001,0.08432776451869535,27.26,997,8.520000000000003,0.231584669747214,45.31,997,21.57,0.5331191300049432,62.03,0.0,0.0,0.0
76,Albany,2020-03-25,-13,-0.6842105263157895,6,0.6499999999999986,0.016193323368211224,40.79,6,0.990000000000002,0.021208226221079735,47.67,6,0.3400000000000034,0.00638497652582166,53.59,0.0,0.0,0.0
77,Bronx,2020-03-25,156,0.34285714285714286,611,-2.3000000000000007,-0.07898351648351651,26.82,611,-1.8700000000000045,-0.037869582827055576,47.51,611,-4.209999999999994,-0.08351517556040457,46.2,0.0,0.0,0.0
78,Erie,2020-03-25,-19,-0.7037037037037037,8,3.3599999999999994,0.10020876826722336,36.89,8,4.089999999999996,0.08420835906938431,52.66,8,15.679999999999993,0.24171419762602114,80.55,0.0,0.0,0.0
79,Kings,2020-03-25,79,0.11285714285714285,779,-1.5599999999999987,-0.07094133697135056,20.43,779,-2.8200000000000003,-0.05921881562368753,44.8,779,-8.46,-0.20210224558050646,33.4,0.0,0.0,0.0
